booking_id,property_id,platform,guest_name,booking_date,checkin_date,checkout_date,stay_nights,gross_booking_revenue,cleaning_fee,platform_fee,management_fee,maintenance_cost,total_cost,profit,avg_nightly_rate,review_rating,occupancy_status
BK000051,PROP001,Airbnb,Georgia Godfrey-Dixon,2023-07-18,2023-09-09,2023-09-14,5,535.1,70,16.05,107.02,20.58,106.63,428.47,107.02,4.8,Completed
BK000052,PROP001,Airbnb,Shaun Clarke,2023-09-08,2023-09-14,2023-09-18,4,472.76,80,14.18,94.55,22.61,116.79,355.97,118.19,4.8,Completed
BK000053,PROP001,Airbnb,Roy Parkinson,2023-08-03,2023-09-18,2023-09-20,2,245.6,70,7.37,49.12,21.21,98.58000000000001,147.02,122.8,4.8,Completed
BK000054,PROP001,Airbnb,Mr Shaun Marsden,2023-09-06,2023-09-20,2023-09-22,2,216.86,60,6.51,43.37,19.97,86.48,130.38,108.43,4.7,Completed
BK000055,PROP001,Airbnb,Mary Mann-Bradley,2023-09-04,2023-09-22,2023-09-25,3,311.4,80,9.34,62.28,43.47,132.81,178.59,103.8,4.4,Completed
BK000056,PROP001,Airbnb,Ms Barbara Wood,2023-08-13,2023-09-25,2023-10-02,7,847.28,70,25.42,169.46,48.34,143.76,703.52,121.04,4.5,Completed
BK000057,PROP001,Airbnb,Dr Roger Williams,2023-09-09,2023-10-03,2023-10-06,3,356.73,70,10.7,71.35,15.4,96.10000000000001,260.63,118.91,4.9,Completed
BK000058,PROP001,Booking.com,Mrs Lauren Kirby,2023-09-27,2023-10-06,2023-10-13,7,789.18,80,23.68,157.84,29.83,133.51,655.67,112.74,4.5,Completed
BK000059,PROP001,Booking.com,Dr Gregory Miah,2023-08-15,2023-10-13,2023-10-20,7,861.56,60,25.85,172.31,15.1,100.94999999999999,760.61,123.08,4.6,Completed
BK000060,PROP001,Airbnb,Jason Lee,2023-09-18,2023-10-20,2023-10-22,2,230.24,90,6.91,46.05,49.13,146.04,84.2,115.12,,Completed
BK000061,PROP001,Airbnb,Dr Amy Cooper,2023-09-21,2023-10-22,2023-10-24,2,204.12,90,6.12,40.82,42.38,138.5,65.62,102.06,4.7,Completed
BK000062,PROP001,Airbnb,Dr Lesley Clarke,2023-08-30,2023-10-27,2023-10-29,2,243.14,80,7.29,48.63,58.04,145.33,97.81,121.57,4.7,Completed
BK000063,PROP001,Booking.com,Samuel Evans,2023-09-15,2023-10-31,2023-11-07,7,855.05,60,25.65,171.01,31.77,117.42,737.63,122.15,4.6,Completed
BK000064,PROP001,Airbnb,Lydia Wright-Wright,2023-09-11,2023-11-07,2023-11-13,6,884.7,90,26.54,176.94,48.73,165.26999999999998,719.43,147.45,4.9,Completed
BK000065,PROP001,Booking.com,Dr Owen Barrett,2023-11-04,2023-11-14,2023-11-18,4,562.2,70,16.87,112.44,52.59,139.46,422.74,140.55,4.5,Completed
BK000066,PROP001,Airbnb,Elaine Foster,2023-10-05,2023-11-21,2023-11-26,5,748.15,60,22.44,149.63,47.52,129.96,618.19,149.63,4.9,Completed
BK000067,PROP001,Airbnb,Dr Clifford Hunt,2023-10-23,2023-11-28,2023-12-02,4,590.52,50,17.72,118.1,34.72,102.44,488.08,147.63,4.8,Completed
BK000068,PROP001,Booking.com,Abigail Cooper-Elliott,2023-10-14,2023-12-02,2023-12-06,4,602.16,70,18.06,120.43,27.02,115.08,487.08,150.54,4.8,Completed
BK000069,PROP001,Airbnb,Scott Walker,2023-11-16,2023-12-06,2023-12-12,6,839.7,50,25.19,167.94,35.83,111.02,728.68,139.95,4.5,Completed
BK000070,PROP001,Booking.com,Mr Brian Savage,2023-10-27,2023-12-12,2023-12-17,5,676.95,90,20.31,135.39,47.91,158.22,518.73,135.39,4.7,Completed
BK000071,PROP001,Airbnb,Brett Adams,2023-10-29,2023-12-17,2023-12-22,5,660.5,50,19.81,132.1,14.65,84.46000000000001,576.04,132.1,4.9,Completed
BK000072,PROP001,Airbnb,Mrs Janice Wood,2023-11-25,2023-12-22,2023-12-26,4,480.8,90,14.42,96.16,28.45,132.87,347.93,120.2,4.5,Completed
BK000073,PROP001,Booking.com,Jacqueline Williams-Law,2023-12-04,2023-12-26,2024-01-02,7,940.1,90,28.2,188.02,26.54,144.74,795.36,134.3,4.5,Completed
BK000074,PROP001,Airbnb,Kerry Russell,2023-12-22,2024-01-03,2024-01-07,4,392.44,60,11.77,78.49,16.03,87.8,304.64,98.11,4.5,Completed
BK000075,PROP001,Booking.com,Heather Holden,2023-12-16,2024-01-07,2024-01-14,7,758.87,60,22.77,151.77,19.58,102.35,656.52,108.41,4.9,Completed
BK000076,PROP001,Airbnb,Joan Turner,2023-12-30,2024-01-16,2024-01-22,6,549.3,90,16.48,109.86,24.15,130.63,418.67,91.55,4.7,Completed
BK000077,PROP001,Airbnb,Joel Williams-Hawkins,2023-12-14,2024-01-22,2024-01-25,3,275.13,70,8.25,55.03,18.97,97.22,177.91,91.71,5.0,Completed
BK000078,PROP001,Airbnb,Dr Linda Wilson,2023-12-07,2024-01-25,2024-01-29,4,376.16,50,11.28,75.23,58.71,119.99000000000001,256.17,94.04,4.5,Completed
BK000079,PROP001,Airbnb,Julia Davies,2024-01-06,2024-01-29,2024-02-05,7,735.98,80,22.08,147.2,15.13,117.21,618.77,105.14,5.0,Completed
BK000080,PROP001,Vrbo,Sally Hamilton,2024-01-15,2024-02-05,2024-02-10,5,571.75,80,17.15,114.35,27.04,124.19,447.56,114.35,5.0,Completed
BK000081,PROP001,Airbnb,Guy Wood,2023-12-27,2024-02-10,2024-02-12,2,184.08,50,5.52,36.82,30.04,85.56,98.52,92.04,4.4,Completed
BK000082,PROP001,airbnb,Jessica Gregory,2024-02-03,2024-02-13,2024-02-16,3,311.43,60,9.34,62.29,50.56,119.9,191.53,103.81,4.7,Completed
BK000083,PROP001,airbnb,Mr Russell Savage,2023-12-23,2024-02-16,2024-02-18,2,180.92,90,5.43,36.18,48.22,143.65,37.27,90.46,4.6,Completed
BK000084,PROP001,Vrbo,Connor Hall,2024-01-25,2024-02-18,2024-02-21,3,263.97,90,7.92,52.79,29.02,126.94,137.03,87.99,5.0,Completed
BK000085,PROP001,Airbnb,Connor Clark,2023-12-31,2024-02-21,2024-02-26,5,540.5,70,16.21,108.1,38.43,124.64000000000001,415.86,108.1,5.0,Completed
BK000086,PROP001,Airbnb,Dr Christian Kaur,2024-02-06,2024-02-26,2024-02-29,3,259.56,60,7.79,51.91,23.23,91.02000000000001,168.54,86.52,4.8,Completed
BK000087,PROP001,Airbnb,Dr Valerie Gordon,2024-01-11,2024-02-29,2024-03-06,6,629.16,50,18.87,125.83,17.83,86.7,542.46,104.86,4.7,Completed
BK000088,PROP001,Airbnb,Abbie Hayes,2024-02-12,2024-03-06,2024-03-11,5,547.4,70,16.42,109.48,11.63,98.05,449.35,109.48,4.9,Completed
BK000089,PROP001,Booking.com,Katie Thompson-Patel,2024-01-26,2024-03-11,2024-03-13,2,232.32,60,6.97,46.46,56.2,123.17,109.15,116.16,5.0,Completed
BK000090,PROP001,Airbnb,Jayne Mason,2024-01-27,2024-03-13,2024-03-20,7,725.27,60,21.76,145.05,31.26,113.02000000000001,612.25,103.61,4.9,Completed
BK000091,PROP001,Airbnb,Ben Cross,2024-02-25,2024-03-20,2024-03-24,4,462.6,60,13.88,92.52,13.57,87.44999999999999,375.15,115.65,4.8,Completed
BK000092,PROP001,Airbnb,Ms Grace Perry,2024-02-19,2024-03-24,2024-03-31,7,764.89,90,22.95,152.98,56.06,169.01,595.88,109.27,4.9,Completed
BK000093,PROP001,Airbnb,Rosie Parker-Brown,2024-02-24,2024-03-31,2024-04-07,7,775.11,80,23.25,155.02,57.13,160.38,614.73,110.73,4.6,Completed
BK000094,PROP001,Airbnb,Denis Baker,2024-03-13,2024-04-07,2024-04-09,2,245.64,90,7.37,49.13,11.99,109.36,136.28,122.82,4.9,Completed
BK000095,PROP001,Vrbo,Ms Melanie Whitehouse,2024-02-13,2024-04-11,2024-04-15,4,492.28,50,14.77,98.46,14.57,79.34,412.94,123.07,4.9,Completed
BK000096,PROP001,Booking.com,Carolyn Hanson,2024-03-25,2024-04-16,2024-04-22,6,760.5,50,22.81,152.1,59.98,132.79,627.71,126.75,4.6,Completed
BK000097,PROP001,Booking.com,Mohammed Turner,2024-03-31,2024-04-22,2024-04-24,2,258.58,60,7.76,51.72,33.53,101.29,157.29,129.29,4.6,Completed
BK000098,PROP001,Airbnb,Carly Jenkins,2024-04-15,2024-04-25,2024-05-01,6,691.14,80,20.73,138.23,41.74,142.47,548.67,115.19,4.6,Completed
BK000099,PROP001,Booking.com,Bryan Waters,2024-03-03,2024-05-01,2024-05-05,4,491.44,80,14.74,98.29,26.67,121.41,370.03,122.86,4.8,Completed
BK000100,PROP001,Airbnb,Mr Toby Whittaker,2024-04-06,2024-05-06,2024-05-10,4,429.88,80,12.9,85.98,44.68,137.58,292.3,107.47,5.0,Completed
BK000101,PROP001,Airbnb,Mitchell Howard-Cartwright,2024-04-28,2024-05-10,2024-05-12,2,252.18,80,7.57,50.44,14.4,101.97,150.21,126.09,4.4,Completed
BK000102,PROP001,Airbnb,Billy Baldwin,2024-04-12,2024-05-13,2024-05-19,6,724.68,50,21.74,144.94,42.88,114.62,610.06,120.78,4.5,Completed
BK000103,PROP001,Booking.com,Mrs Abigail Wilson,2024-04-04,2024-05-19,2024-05-22,3,344.76,90,10.34,68.95,28.09,128.43,216.33,114.92,4.9,Completed
BK000104,PROP001,Airbnb,Ellie Connolly,2024-04-29,2024-05-22,2024-05-24,2,227.3,60,6.82,45.46,23.35,90.16999999999999,137.13,113.65,4.9,Completed
BK000105,PROP001,Vrbo,Dr Dominic Duffy,2024-04-11,2024-05-24,2024-05-31,7,892.43,80,26.77,178.49,16.07,122.84,769.59,127.49,4.8,Completed
BK000106,PROP001,Airbnb,Joan Thomas-Wright,2024-04-30,2024-05-31,2024-06-07,7,772.38,60,23.17,154.48,25.54,108.71000000000001,663.67,110.34,4.8,Completed
BK000107,PROP001,Airbnb,Graeme Atkins,2024-04-10,2024-06-07,2024-06-10,3,498.27,50,14.95,99.65,33.07,98.02000000000001,400.25,166.09,4.3,Completed
BK000108,PROP001,Airbnb,Terence Mills,2024-04-13,2024-06-10,2024-06-15,5,688.85,70,20.67,137.77,35.44,126.11,562.74,137.77,4.5,Completed
BK000109,PROP001,Airbnb,Dr Damian Begum,2024-05-29,2024-06-15,2024-06-20,5,860.7,60,25.82,172.14,32.84,118.66,742.04,172.14,4.8,Completed
BK000110,PROP001,Airbnb,Claire Green,2024-04-26,2024-06-20,2024-06-26,6,1041.42,60,31.24,208.28,53.2,144.44,896.98,173.57,4.6,Completed
BK000111,PROP001,Airbnb,Nicole Evans,2024-05-06,2024-06-26,2024-06-30,4,620.76,90,18.62,124.15,23.36,131.98000000000002,488.78,155.19,4.8,Completed
BK000112,PROP001,airbnb,Yvonne Ball-Ali,2024-06-16,2024-06-30,2024-07-06,6,869.88,90,26.1,173.98,59.95,176.05,693.83,144.98,4.8,Completed
BK000113,PROP001,Airbnb,Mandy Foster-Barber,2024-05-28,2024-07-06,2024-07-12,6,938.1,80,28.14,187.62,27.26,135.4,802.7,156.35,4.9,Completed
BK000114,PROP001,Vrbo,Dr Bryan Jackson,2024-06-22,2024-07-12,2024-07-17,5,751.35,70,22.54,150.27,53.48,146.01999999999998,605.33,150.27,4.7,Completed
BK000115,PROP001,Airbnb,Connor Williams,2024-06-23,2024-07-18,2024-07-23,5,805.65,60,24.17,161.13,52.8,136.97,668.68,161.13,4.7,Completed
BK000116,PROP001,airbnb,Irene Wilkinson,2024-05-27,2024-07-23,2024-07-30,7,1212.89,80,36.39,242.58,29.3,145.69,1067.2,173.27,4.9,Completed
BK000117,PROP001,Vrbo,Anna Williamson,2024-07-04,2024-07-30,2024-08-04,5,850.8,50,25.52,170.16,16.31,91.83,758.97,170.16,5.0,Completed
BK000118,PROP001,Airbnb,Ms Kathryn Parker,2024-06-14,2024-08-04,2024-08-09,5,912.25,50,27.37,182.45,36.3,113.67,798.58,182.45,4.5,Completed
BK000119,PROP001,Booking.com,James Robinson,2024-07-19,2024-08-09,2024-08-14,5,766.45,60,22.99,153.29,13.74,96.72999999999999,669.72,153.29,4.4,Completed
BK000120,PROP001,Booking.com,Miss Dorothy Morrison,2024-06-16,2024-08-14,2024-08-20,6,874.92,80,26.25,174.98,42.49,148.74,726.18,145.82,4.7,Completed
BK000121,PROP001,Booking.com,Gareth Wilson,2024-07-16,2024-08-21,2024-08-26,5,798.75,70,23.96,159.75,41.34,135.3,663.45,159.75,4.5,Completed
BK000122,PROP001,Airbnb,Dr Fiona Young,2024-08-03,2024-08-26,2024-08-28,2,322.72,90,9.68,64.54,13.42,113.10000000000001,209.62,161.36,4.9,Completed
BK000123,PROP001,Airbnb,Jeremy Price,2024-07-14,2024-08-28,2024-09-04,7,1215.13,50,36.45,243.03,31.7,118.15,1096.98,173.59,5.0,Completed
BK000124,PROP001,Vrbo,Bradley Turner-Thorpe,2024-08-29,2024-09-05,2024-09-10,5,496.2,60,14.89,99.24,44.7,119.59,376.61,99.24,5.0,Completed
BK000125,PROP001,Airbnb,Miss Lesley Clark,2024-08-22,2024-09-11,2024-09-13,2,235.12,70,7.05,47.02,27.92,104.97,130.15,117.56,4.3,Completed
BK000126,PROP001,Airbnb,Dr Anthony Moore,2024-08-28,2024-09-13,2024-09-18,5,547.45,90,16.42,109.49,44.09,150.51,396.94,109.49,4.8,Completed
BK000127,PROP001,Airbnb,Justin Thomson,2024-08-09,2024-09-20,2024-09-26,6,707.22,80,21.22,141.44,40.99,142.21,565.01,117.87,4.6,Completed
BK000128,PROP001,Airbnb,Laura Chapman-Jones,2024-08-10,2024-09-26,2024-09-29,3,362.19,80,10.87,72.44,41.9,132.77,229.42,120.73,4.4,Completed
BK000129,PROP001,Airbnb,Bernard Mills,2024-08-27,2024-09-29,2024-10-04,5,599.65,70,17.99,119.93,43.88,131.87,467.78,119.93,4.3,Completed
BK000130,PROP001,Airbnb,Peter Hall,2024-09-13,2024-10-04,2024-10-10,6,760.5,70,22.81,152.1,41.95,134.76,625.74,126.75,4.8,Completed
BK000131,PROP001,Booking.com,Gavin Cross,2024-09-30,2024-10-11,2024-10-15,4,466.24,60,13.99,93.25,59.97,133.95999999999998,332.28,116.56,5.0,Completed
BK000132,PROP001,Airbnb,Gareth Bell,2024-08-27,2024-10-15,2024-10-20,5,563.55,90,16.91,112.71,27.95,134.85999999999999,428.69,112.71,4.9,Completed
BK000133,PROP001,Airbnb,Dr Karl Dean,2024-09-02,2024-10-20,2024-10-22,2,257.4,80,7.72,51.48,23.72,111.44,145.96,128.7,4.9,Completed
BK000134,PROP001,Vrbo,Ms Joanne Porter,2024-08-29,2024-10-22,2024-10-28,6,748.44,80,,149.69,51.64,154.09,594.35,124.74,4.3,Completed
BK000135,PROP001,Airbnb,Liam Lloyd,2024-10-07,2024-10-28,2024-11-03,6,738.9,70,22.17,147.78,20.95,113.12,625.78,123.15,4.7,Completed
BK000136,PROP001,Airbnb,Mr Roger Cook,2024-10-10,2024-11-03,2024-11-10,7,1082.13,50,32.46,216.43,55.17,137.63,944.5,154.59,4.7,Completed
BK000137,PROP001,Airbnb,Dr Patrick Smith,2024-10-18,2024-11-10,2024-11-12,2,297.68,90,8.93,59.54,28.24,127.17,170.51,148.84,4.8,Completed
BK000138,PROP001,Airbnb,Mrs Marian Randall,2024-10-05,2024-11-13,2024-11-20,7,961.73,80,28.85,192.35,18.78,127.63,834.1,137.39,4.7,Completed
BK000139,PROP001,Booking.com,Ms Lindsey Cooper,2024-10-30,2024-11-20,2024-11-26,6,854.7,90,25.64,170.94,55.67,171.31,683.39,142.45,4.4,Completed
BK000140,PROP001,Airbnb,Anthony Lee,2024-11-17,2024-11-26,2024-11-30,4,581.56,70,17.45,116.31,50.21,137.66,443.9,145.39,4.4,Completed
BK000141,PROP001,Booking.com,Christian Collins,2024-11-02,2024-11-30,2024-12-03,3,430.14,80,12.9,86.03,58.36,151.26,278.88,143.38,4.7,Completed
BK000142,PROP001,Airbnb,Cheryl Boyle,2024-11-05,2024-12-03,2024-12-08,5,742.7,50,22.28,148.54,23.22,95.5,647.2,148.54,4.6,Completed
BK000143,PROP001,Vrbo,Charles Hill,2024-11-27,2024-12-08,2024-12-14,6,796.5,80,23.89,159.3,51.12,155.01,641.49,132.75,4.6,Completed
BK000144,PROP001,Vrbo,Geraldine Holt-Marshall,2024-11-19,2024-12-14,2024-12-19,5,646.25,50,19.39,129.25,40.98,110.37,535.88,129.25,4.3,Completed
BK000145,PROP001,Airbnb,Deborah Holt,2024-10-31,2024-12-19,2024-12-22,3,407.67,50,12.23,81.53,41.77,104.0,303.67,135.89,5.0,Completed
BK000146,PROP001,Airbnb,Stephanie Thomas,2024-12-15,2024-12-22,2024-12-29,7,968.73,80,29.06,193.75,15.83,124.89,843.84,138.39,4.8,Completed
BK000147,PROP001,Booking.com,Marilyn Burns,2024-12-16,2024-12-29,2025-01-03,5,756.5,50,22.7,151.3,14.86,87.56,668.94,151.3,4.7,Completed
BK000148,PROP001,Booking.com,Jennifer Allen,2024-11-27,2025-01-05,2025-01-10,5,466.25,70,13.99,93.25,43.52,127.50999999999999,338.74,93.25,5.0,Completed
BK000149,PROP001,Booking.com,Dr Charles Smith,2024-11-13,2025-01-10,2025-01-16,6,571.92,60,17.16,114.38,54.27,131.43,440.49,95.32,5.0,Completed
BK000150,PROP001,Airbnb,Charlotte Thompson,2024-11-28,2025-01-16,2025-01-22,6,574.8,80,17.24,114.96,56.95,154.19,420.61,95.8,4.9,Completed
BK000151,PROP001,Airbnb,Amber Spencer,2024-12-26,2025-01-23,2025-01-26,3,270.45,80,8.11,54.09,32.23,120.34,150.11,90.15,4.7,Completed
BK000152,PROP001,Vrbo,Mr Justin Wright,2024-12-30,2025-01-26,2025-02-02,7,596.33,70,17.89,119.27,37.22,125.11,471.22,85.19,4.8,Completed
BK000153,PROP001,Airbnb,Ben Glover,2024-12-05,2025-02-02,2025-02-07,5,481.45,70,14.44,96.29,19.49,103.92999999999999,377.52,96.29,4.7,Completed
BK000154,PROP001,Airbnb,Louise Williamson,2025-02-01,2025-02-07,2025-02-09,2,185.38,60,5.56,37.08,42.09,107.65,77.73,92.69,4.4,Completed
BK000155,PROP001,Booking.com,Benjamin Clark,2025-01-22,2025-02-09,2025-02-13,4,397.84,60,11.94,79.57,59.44,131.38,266.46,99.46,4.9,Completed
BK000156,PROP001,Booking.com,Mr Tom Smith,2025-01-26,2025-02-14,2025-02-20,6,655.92,60,19.68,131.18,39.32,119.0,536.92,109.32,5.0,Completed
BK000157,PROP001,Booking.com,Lorraine Townsend,2025-02-07,2025-02-21,2025-02-24,3,284.16,90,8.52,56.83,10.14,108.66,175.5,94.72,4.5,Completed
